lastName,name,declarationDate,job,ministry,declarationObject
ABBAS,Abdelhamid,9-juil.-1987,DIRECTEUR REGIONAL,MINISTERE DE LA SANTE PUBLIQUE,PREMIERE DECLARATION
ABBAS,Mohamed,1-mars-1988,PRESIDENT DIRECTEUR GENERAL,MINISTERE DE LA PRODUCTION AGRICOLE ET DES INDUSTRIES AGRO-ALIMENTAIRES,OBJET INNEXISTANT
ABBAS,Mohamed,9-juil.-1987,PRESIDENT DIRECTEUR GENERAL,MINISTERE DE LA PRODUCTION AGRICOLE ET DES INDUSTRIES AGRO-ALIMENTAIRES,PREMIERE DECLARATION
ABBAS,Ridha,9-juil.-1987,MAGISTRAT,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
ABBAS,Hedi,25-févr.-1994,DIRECTEUR,MINISTERE DE L'EDUCATION ET DES SCIENCES,CHANGEMENT D'ADMINISTRATION
ABBAS,Hedi,8-mars-1993,DIRECTEUR,MINISTERE DE L'EDUCATION ET DES SCIENCES,PREMIERE DECLARATION
ABBAS,Moncef,13-mai-1993,CHEF BUREAU,MINISTERE DE L'INFORMATION,PREMIERE DECLARATION
ABBASI,Mohamed,7-juil.-1987,DIRECTEUR ADJOINT,"MINISTERE DE L'EQUIPEMENT, DE L'HABITAT ET DU TRANSPORT",PREMIERE DECLARATION
ABBASI,Abderrahim,7-juil.-1987,PRESIDENT DE TRIBUNAL,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
ABBASI,Mustapha,26-juin-2000,MAGISTRAT,MINISTERE DE LA JUSTICE,RENOUVELLEMENT -5 ANS-
ABBASI,Mustapha,25-juin-1993,PROCUREUR PRESIDENT,MINISTERE DE LA JUSTICE,RENOUVELLEMENT -5 ANS-
ABBASI,Mustapha,9-juil.-1987,MAGISTRAT,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
ABBASI,Romdhane,9-juil.-1987,PROCUREUR DE LA REPUBLIQUE,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
ABBASI,Mahmoud,17-oct.-1988,RECEVEUR,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABBASI,Bouslah,9-juil.-1987,CONTROLEUR,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABBASI,Amor,9-juil.-1987,FONCTIONNAIR,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABBASI,Ayed,9-juil.-1987,AGENT,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABBASI,Mohamed Mokdade,9-juil.-1987,AUXILAIRE,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABBASI,Bouguera,9-juil.-1987,AGENT,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABBASI,Khalifa,25-mai-2000,AGENT,MINISTERE DES FINANCES,RENOUVELLEMENT -5 ANS-
ABBASI,Khalifa,9-juil.-1987,INCONNUE,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABBASI,Said,9-juil.-1987,DIRECTEUR,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABBASI,Mohamed,9-juil.-1987,AGENT,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABBASI,Ali,9-juil.-1987,CONTROLEUR,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABBASI,Mouldi,21-oct.-2010,DIRECTEUR GENERAL,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR,RENOUVELLEMENT -5 ANS-
ABBASI,Mouldi,9-mars-2004,DIRECTEUR,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR,RENOUVELLEMENT -5 ANS-
ABBASI,Mouldi,6-mars-1993,DIRECTEUR,MINISTERE DE L'EDUCATION ET DES SCIENCES,RENOUVELLEMENT -5 ANS-
ABBASI,Mouldi,9-juil.-1987,DIRECTEUR,"MINISTERE DE L'EDUCATION, DE L'ENSEIGNEMENT ET DE LA RECHERCHE SCIENTIFIQUE",PREMIERE DECLARATION
ABBASI,Taoufik,14-juil.-1987,DIRECTEUR DE MAGASINS,MINISTERE DE L'INDUSTRIEET DU COMMERCE,PREMIERE DECLARATION
ABBASI,Lotfi,28-oct.-1987,EXAMINATEUR  DE PERMIS DE CONDUIRE,MINISTERE DU TRANSPORT,PREMIERE DECLARATION
